AFIN,10-Oct-18,14.59,15,14.59,14.96,2.54,357500
AFMD,10-Oct-18,3.46,3.53,3.36,3.405,-1.59,1387000
AFSI,10-Oct-18,14.33,14.5,14.255,14.26,-0.49,440600
AGEN,10-Oct-18,1.97,2.03,1.9,1.92,-2.54,1192000
AGFS,10-Oct-18,6.24,6.4,6.13,6.14,-1.60,125400
AGFSW,10-Oct-18,0.2,0.22,0.19,0.2,0.00,225900
AGIO,10-Oct-18,65.44,66.2,63.565,63.83,-2.46,521000
AGLE,10-Oct-18,9.5,9.55,8.83,8.84,-6.95,175600
AGMH,10-Oct-18,35,35.89,32.9,34.67,-0.94,14500
AGNC,10-Oct-18,18.2,18.35,18.05,18.06,-0.77,4135000
AGNCB,10-Oct-18,25.2,25.2,25.1,25.2,0.00,66100
AGNCN,10-Oct-18,25.46,25.54,25.45,25.54,0.31,20100
AGND,10-Oct-18,44.341,44.42,44.308,44.405,0.14,5500
AGRX,10-Oct-18,0.68,0.7,0.61,0.66,-2.94,5201600
AGTC,10-Oct-18,6.38,6.82,6.35,6.35,-0.47,86200
AGYS,10-Oct-18,15.45,15.61,15.09,15.48,0.19,103800
AGZD,10-Oct-18,47.89,48,47.78,48,0.23,22600
AHPA,10-Oct-18,10,10.05,9.99,10.05,0.50,2200
AHPI,10-Oct-18,2.19,2.2,2.17,2.17,-0.91,3400
AIA,10-Oct-18,58.32,58.32,56.82,56.82,-2.57,68500
AIHS,10-Oct-18,4.21,4.26,4.1,4.13,-1.90,2400
AIMC,10-Oct-18,41.14,41.27,39.64,39.66,-3.60,1841900
AIMT,10-Oct-18,26.1,26.42,24.78,24.85,-4.79,329800
AINV,10-Oct-18,5.48,5.5,5.4,5.41,-1.28,1100000
AIPT,10-Oct-18,0.99,1,0.9,0.92,-7.07,149200
AIQ,10-Oct-18,15.04,15.04,14.3,14.3,-4.92,16400
AIRG,10-Oct-18,12.66,12.76,12.05,12.11,-4.34,45500
AIRR,10-Oct-18,27.23,27.23,26.49,26.5,-2.68,43000
AIRT,10-Oct-18,37.88,38.25,35.68,37.72,-0.42,3500
AKAM,10-Oct-18,64.63,65,62.45,62.5,-3.30,2819900
AKAO,10-Oct-18,4.11,4.15,3.93,3.95,-3.89,536900
AKBA,10-Oct-18,8.44,8.68,8.42,8.45,0.12,415900
AKCA,10-Oct-18,29.88,30.34,26.77,27.03,-9.54,290600
AKER,10-Oct-18,0.345,0.37,0.32,0.321,-6.96,2666400
AKRX,10-Oct-18,6.78,6.82,6.2,6.42,-5.31,5194400
AKTS,10-Oct-18,7.36,7.44,6.05,6.07,-17.53,251400
AKTX,10-Oct-18,2.08,2.1,1.92,1.92,-7.69,38000
ALBO,10-Oct-18,30.35,30.35,27.795,27.98,-7.81,37400
ALCO,10-Oct-18,33.97,33.97,32.825,33.08,-2.62,8200
ALDR,10-Oct-18,14.64,14.72,13.64,13.72,-6.28,708200
ALDX,10-Oct-18,12.69,12.9,11.83,12.15,-4.26,379400
ALGN,10-Oct-18,336.28,336.62,315.33,316.03,-6.02,1670200
ALGR,10-Oct-18,9.57,9.57,9.57,9.57,0.00,27500
ALGRU,10-Oct-18,10.28,10.29,10.1,10.27,-0.10,7000
ALGRW,10-Oct-18,0.42,0.42,0.4,0.41,-2.38,21000
ALGT,10-Oct-18,118.28,118.44,114.18,114.6,-3.11,193700
ALIM,10-Oct-18,0.95,0.97,0.93,0.93,-2.11,60800
ALJJ,10-Oct-18,1.64,1.64,1.59,1.59,-3.05,35900
ALKS,10-Oct-18,43.06,44.01,42.48,42.53,-1.23,460300
ALLK,10-Oct-18,35.5,36.33,33.4,34.07,-4.03,179300
ALLT,10-Oct-18,6.14,6.14,6.03,6.04,-1.63,34900
ALNA,10-Oct-18,10.56,10.57,10.11,10.14,-3.98,25700
ALNY,10-Oct-18,81.21,83.97,80,80.99,-0.27,1200000
ALOT,10-Oct-18,20.83,21.2,20.68,20.68,-0.72,14200
ALPN,10-Oct-18,5.33,5.66,5.27,5.31,-0.38,8000
ALQA,10-Oct-18,2.15,2.2,2.14,2.14,-0.47,6500
ALRM,10-Oct-18,48.61,48.91,45.21,45.28,-6.85,717700
ALRN,10-Oct-18,2.6,2.7,2.5,2.6,0.00,40900
ALSK,10-Oct-18,1.77,1.85,1.64,1.65,-6.78,88800
ALT,10-Oct-18,4.65,4.655,4.25,4.59,-1.29,1426400
ALTR,10-Oct-18,39.89,40,35.63,35.7,-10.50,530000
ALTY,10-Oct-18,14.86,14.86,14.62,14.62,-1.62,7700
ALXN,10-Oct-18,129.56,130.12,123.76,123.99,-4.30,1615900
AMAG,10-Oct-18,22.5,23.5,21.46,21.75,-3.33,906300
AMAL,10-Oct-18,19.66,19.75,19.51,19.6,-0.31,69900
AMAT,10-Oct-18,35,35.69,34.09,34.43,-1.63,23974600
AMBA,10-Oct-18,33.72,33.97,31.655,31.84,-5.58,1377300
AMBC,10-Oct-18,20.02,20.26,19.58,19.64,-1.90,345800
AMBCW,10-Oct-18,9.29,9.87,9.24,9.45,1.72,5800
AMCA,10-Oct-18,28.59,28.59,28.19,28.19,-1.40,600
AMCN,10-Oct-18,0.4,0.415,0.392,0.415,3.75,58800
AMCX,10-Oct-18,59.9,61.1,57.52,57.65,-3.76,1196800
AMD,10-Oct-18,27.38,27.4,24.91,25,-8.69,147682900
AMDA,10-Oct-18,0.26,0.28,0.25,0.26,0.00,710700
AMED,10-Oct-18,122.13,122.54,116.98,117.32,-3.94,398100
AMEH,10-Oct-18,20.08,20.08,18.38,18.42,-8.27,27700
AMGN,10-Oct-18,205,206.35,200.77,201.2,-1.85,4147900
AMKR,10-Oct-18,6.78,6.9,6.64,6.66,-1.77,997800
AMMA,10-Oct-18,0.29,0.32,0.29,0.3,3.45,408300
AMNB,10-Oct-18,37.96,38.41,37.26,37.4,-1.48,30800
AMOT,10-Oct-18,47.29,47.735,45.2,45.21,-4.40,28900
AMPH,10-Oct-18,19.02,19.24,18.68,18.7,-1.68,128200
AMR,10-Oct-18,4.18,4.26,3.88,3.9,-6.70,1389400
AMRB,10-Oct-18,15.5,15.5,15.06,15.06,-2.84,1200
